id,name,time,other names,类型
A490,探险活宝 第六季,['2014-04-21'],['探險活寶'],"['BL', '动作']"
A491,银河英雄传说 我的征途是星辰大海,none,['Legend of the Galactic Heroes My Conquest is the Sea of Stars'],['科幻']
A492,末日时在做什么？有没有空？可以来拯救吗？,['2017年4月11日'],['すかすか'],"['致郁', '恋爱', '治愈', '奇幻', '催泪', '战斗']"
A493,向山进发 第三季,['2018年7月2日'],['前进吧！登山少女 第三季'],"['百合', '治愈', '萌', '日常', '运动']"
A494,只有我不存在的城市,['2016年1月7日'],['只有我不在的街道'],"['悬疑', '穿越', '治愈', '校园', '奇幻', '恋爱']"
A495,蜡笔小新 呼风唤雨！战国大合战,none,none,['搞笑']
A496,飞跃巅峰！剧场版,none,['飛越巔峰 劇場版'],"['科幻', '百合', '机战', '热血']"
A497,鲁邦三世 ～名为峰不二子的女人～,['2012年4月4日'],['雷朋三世 ～名为峰不二子的女人～'],[]
A498,铁臂阿童木,['2003年4月6日'],['アストロボーイ‧鉄腕アトム'],"['科幻', '战斗']"
A499,向阳素描×365 特别篇,none,none,"['治愈', '百合', '日常', '萌', '校园']"
A500,探险活宝 第五季,['2012年11月12'],['探險活寶'],"['奇幻', '动作', '冒险']"
A501,名侦探柯南,['1996年1月8日'],none,['悬疑']
A502,变形金刚,['1984年9月17日'],['Transformers Generation 1'],"['科幻', '萌', '热血']"
A503,青兰圆舞曲,['1991年7月14日'],['天才酷老师'],['百合']
A504,空中杀手,none,none,"['科幻', '战斗']"
A505,星界的战旗II,['2001年7月11日'],none,"['科幻', '恋爱']"
A506,传说巨神伊迪安,['1980年5月8日'],none,['科幻']
A507,探险活宝 第三季,['2011年7月11日'],['探險活寶'],"['冒险', '奇幻', '动作', '搞笑']"
A508,马男波杰克4,['2017年9月8日'],none,"['致郁', '搞笑']"
A509,齐木楠雄的灾难,['2016年7月10日'],['齊木楠雄的災難'],"['搞笑', '校园', '日常', '奇幻', '治愈']"
A510,摇曳百合♪♪,['2012年7月2日'],['摇曳百合 第二季'],"['百合', '搞笑', '治愈', '萌', '日常', '校园']"
A511,日常 OAD,none,none,"['日常', '搞笑', '校园', '治愈', '萌']"
A512,CLANNAD 另一个世界 智代篇,none,none,"['催泪', '治愈', '校园', '恋爱', '爱情']"
A513,间之楔,none,['间之楔 新版OVA'],"['BL', '耽美', '科幻']"
A514,荒川爆笑团2,['2010年10月3日'],['荒川爆笑团 第2期'],"['搞笑', '治愈', '日常', '恋爱']"
A515,雾山五行,['2020年7月26日'],['雾山五行 灼源神火篇'],"['战斗', '奇幻', '热血']"
A516,摸索吧！部活剧 再来一个,['2014年1月11日'],['摸索吧！部活剧 安可'],"['搞笑', '日常', '校园', '3D']"
A517,×××HOLiC 春梦记,none,['×××HOLiC 春夢記'],['奇幻']
