id,name,link,other names
P58,佐野浩敏,https://bgm.tv/person/369,"['さの ひろとし', 'Sano Hirotoshi']"
P59,大神洋一,https://bgm.tv/person/104,"['大神洋一', 'Oogami Youichi']"
P60,サンライズ,https://bgm.tv/person/189,"['SUNRISE Inc.', 'サンライズ', '三癞子', '日本サンライズ', '株式会社サンライズ']"
P61,士郎正宗,https://bgm.tv/person/657,"['しろう まさむね', 'Shirow Masamune']"
P62,神山健治,https://bgm.tv/person/660,"['神山健治', 'かみやま\u3000けんじ', 'Kamiyama Kenji']"
P63,大松裕,https://bgm.tv/person/27333,none
P64,藤咲淳一,https://bgm.tv/person/2474,"['ふじさく じゅんいち', 'Fujisaki Jun`ichi']"
P65,櫻井圭記,https://bgm.tv/person/1907,"['さくらいよしき', 'Sakurai Yoshiki']"
P66,菅正太郎,https://bgm.tv/person/3337,"['すがしょうたろう', 'Suga Shoutarou']"
P67,松家雄一郎,https://bgm.tv/person/21363,松家 雄一郎
P68,河野利幸,https://bgm.tv/person/20159,none
P69,松本淳,https://bgm.tv/person/3510,"['まつもと あつし', 'Matsumoto Jun']"
P70,西村純二,https://bgm.tv/person/853,"['西村 純二', 'にしむら じゅんじ', 'Nishimura Junji', '西村ジュンジ']"
P71,下司泰弘,https://bgm.tv/person/20998,"['げし やすひろ', 'geshi yasuhiro']"
P72,吉原正行,https://bgm.tv/person/9854,"['吉原正行', 'よしはら\u3000まさゆき', 'Yoshihara Masayuki']"
P73,平松禎史,https://bgm.tv/person/1756,"['ひらまつ ただし', 'Hiramatsu Tadashi']"
P74,安藤真裕,https://bgm.tv/person/2473,"['安藤真裕', 'あんどう\u3000まさひろ', 'Ando Masahiro']"
P75,橘正紀,https://bgm.tv/person/2956,"['たちばなまさき', 'Tachibana Masaki']"
P76,布施木一喜,https://bgm.tv/person/6800,none
P77,川崎逸朗,https://bgm.tv/person/893,"['川崎逸朗', 'かわさき いつろう', 'Kawasaki Itsurou', '玩具监督']"
P78,竹下健一,https://bgm.tv/person/2060,"['たけしたけんいち', 'Takeshita Kennichi']"
P79,中村悟,https://bgm.tv/person/1386,"['なかむら さとる', 'Nakamura Satoru']"
P80,森川聡子,https://bgm.tv/person/2214,"['本间嘉一', '本間嘉一', '橋本聡子', '森川聡子', 'もりかわ\u3000さとこ', 'Morikawa Satoko']"
P81,佐藤雅弘,https://bgm.tv/person/11489,"['さとう まさひろ', 'Sato Masahiro']"
P82,玄馬宣彦,https://bgm.tv/person/14045,"['げんま\u3000のぶひこ', 'Genma Nobuhiko']"
P83,西尾鉄也,https://bgm.tv/person/643,"['にしおてつや', 'Nishio Tetsuya']"
P84,井上鋭,https://bgm.tv/person/12081,"['いのうえ\u3000えい', 'Inoue Ei']"
P85,千葉崇洋,https://bgm.tv/person/2848,"['千葉崇洋', 'ちば たかひろ', 'Chiba Takahiro']"
P86,浅野恭司,https://bgm.tv/person/2157,"['あさのきょうじ', 'Kyoji Asano']"
P87,古屋勝悟,https://bgm.tv/person/2178,"['古屋勝悟', 'ふるや\u3000しょうご', 'Furuya Shougo']"
P88,松田宗一郎,https://bgm.tv/person/11285,"['まつだ そういちろう', 'Matsuda Soichiro']"
P89,松林唯人,https://bgm.tv/person/25674,"['松林 唯人', 'まつばやし ただひと', 'Matsubayashi Tadahito']"
P90,青山浩行,https://bgm.tv/person/3075,"['あおやまひろゆき', 'Aoyama Hiroyuki']"
P91,岸田隆宏,https://bgm.tv/person/360,"['きしだ たかひろ', 'Kishida Takahiro']"
